level,band,band_name,colors,empty_tubes,min_moves,forced_move_ratio,mean_branching,mean_scatter,difficulty_score,is_breather
131,3,Mastery,10,2,30,0.0333,3.733,3.800,93.04,false
132,3,Mastery,10,2,32,0.0313,4.625,3.800,93.19,false
133,3,Mastery,10,2,32,0.0313,5.063,3.800,93.19,false
134,3,Mastery,10,2,32,0.0313,5.625,3.800,93.19,false
135,3,Mastery,10,2,32,0.0313,5.188,3.800,93.19,false
136,3,Mastery,10,1,31,0.3226,2.226,3.500,93.36,false
137,3,Mastery,10,1,31,0.3548,2.387,3.700,93.43,false
138,3,Mastery,10,1,31,0.3548,2.258,3.700,93.43,false
139,3,Mastery,10,1,30,0.3333,2.600,3.600,93.78,false
140,3,Mastery,8,2,27,0.2963,3.037,3.625,66.93,true
141,3,Mastery,10,1,35,0.3429,2.629,3.700,94.29,false
142,3,Mastery,10,1,30,0.3000,2.467,3.500,94.96,false
143,3,Mastery,10,1,30,0.3000,2.467,3.500,94.96,false
144,3,Mastery,10,1,33,0.3333,2.364,3.700,94.96,false
145,3,Mastery,10,1,34,0.3235,2.735,3.700,95.66,false
146,3,Mastery,10,1,29,0.2759,2.586,3.600,95.86,false
147,3,Mastery,10,1,30,0.3333,2.200,3.800,96.15,false
148,3,Mastery,10,1,30,0.3000,2.433,3.600,96.15,false
149,3,Mastery,10,1,31,0.3226,2.355,3.800,96.91,false
150,3,Mastery,10,1,32,0.2813,2.750,3.600,97.48,false
